# Primal Logic Processor Output
# K=0.5
# lambda=2.0
t,velocity,error,integral,control,comfort
3.150,22.873529,22.873529,7.462564,-3.731282,100.00
3.160,22.836216,22.836216,7.455548,-3.727774,100.00
3.170,22.798938,22.798938,7.448536,-3.724268,100.00
3.180,22.761695,22.761695,7.441529,-3.720765,100.00
3.190,22.724488,22.724488,7.434527,-3.717263,100.00
3.200,22.687315,22.687315,7.562328,-3.781164,100.00
3.210,22.649504,22.649504,7.555059,-3.777529,100.00
3.220,22.611728,22.611728,7.547795,-3.773897,100.00
3.230,22.573989,22.573989,7.540535,-3.770268,100.00
3.240,22.536287,22.536287,7.533281,-3.766640,100.00
3.250,22.498620,22.498620,7.526031,-3.763016,100.00
3.260,22.460990,22.460990,7.518787,-3.759393,100.00
3.270,22.423396,22.423396,7.511547,-3.755774,100.00
3.280,22.385838,22.385838,7.636442,-3.818221,100.00
3.290,22.347656,22.347656,7.628935,-3.814468,100.00
3.300,22.309511,22.309511,7.621433,-3.810717,100.00
3.310,22.271404,22.271404,7.613937,-3.806968,100.00
3.320,22.233335,22.233335,7.606445,-3.803223,100.00
3.330,22.195302,22.195302,7.598959,-3.799480,100.00
3.340,22.157308,22.157308,7.591478,-3.795739,100.00
3.350,22.119350,22.119350,7.584002,-3.792001,100.00
3.360,22.081430,22.081430,7.706045,-3.853022,100.00
3.370,22.042900,22.042900,7.698301,-3.849151,100.00
3.380,22.004408,22.004408,7.690563,-3.845281,100.00
3.390,21.965956,21.965956,7.682830,-3.841415,100.00
3.400,21.927541,21.927541,7.675103,-3.837551,100.00
3.410,21.889166,21.889166,7.667381,-3.833691,100.00
3.420,21.850829,21.850829,7.659665,-3.829833,100.00
3.430,21.812531,21.812531,7.651954,-3.825977,100.00
3.440,21.774271,21.774271,7.771198,-3.885599,100.00
3.450,21.735415,21.735415,7.763219,-3.881609,100.00
3.460,21.696599,21.696599,7.755246,-3.877623,100.00
3.470,21.657823,21.657823,7.747278,-3.873639,100.00
3.480,21.619086,21.619086,7.739317,-3.869658,100.00
3.490,21.580390,21.580390,7.731361,-3.865680,100.00
3.500,21.541733,21.541733,7.723411,-3.861705,100.00
3.510,21.503116,21.503116,7.715467,-3.857733,100.00
3.520,21.464538,21.464538,7.831963,-3.915982,100.00
3.530,21.425379,21.425379,7.823751,-3.911875,100.00
3.540,21.386260,21.386260,7.815544,-3.907772,100.00
3.550,21.347182,21.347182,7.807344,-3.903672,100.00
3.560,21.308145,21.308145,7.799149,-3.899575,100.00
3.570,21.269150,21.269150,7.790961,-3.895481,100.00
3.580,21.230195,21.230195,7.782779,-3.891389,100.00
3.590,21.191281,21.191281,7.774603,-3.887301,100.00
3.600,21.152408,21.152408,7.888404,-3.944202,100.00
3.610,21.112966,21.112966,7.879960,-3.939980,100.00
3.620,21.073566,21.073566,7.871522,-3.935761,100.00
3.630,21.034209,21.034209,7.863090,-3.931545,100.00
3.640,20.994893,20.994893,7.854665,-3.927332,100.00
3.650,20.955620,20.955620,7.846246,-3.923123,100.00
3.660,20.916389,20.916389,7.837834,-3.918917,100.00
3.670,20.877199,20.877199,7.829428,-3.914714,100.00
3.680,20.838052,20.838052,7.940584,-3.970292,100.00
3.690,20.798349,20.798349,7.931909,-3.965955,100.00
3.700,20.758690,20.758690,7.923242,-3.961621,100.00
3.710,20.719074,20.719074,7.914581,-3.957291,100.00
3.720,20.679501,20.679501,7.905927,-3.952963,100.00
3.730,20.639971,20.639971,7.897280,-3.948640,100.00
3.740,20.600485,20.600485,7.888639,-3.944319,100.00
3.750,20.561041,20.561041,7.880005,-3.940002,100.00
3.760,20.521641,20.521641,7.988566,-3.994283,100.00
3.770,20.481699,20.481699,7.979664,-3.989832,100.00
3.780,20.441800,20.441800,7.970769,-3.985385,100.00
3.790,20.401946,20.401946,7.961881,-3.980941,100.00
3.800,20.362137,20.362137,7.953000,-3.976500,100.00
3.810,20.322372,20.322372,7.944127,-3.972063,100.00
3.820,20.282651,20.282651,7.935260,-3.967630,100.00
3.830,20.242975,20.242975,7.926400,-3.963200,100.00
3.840,20.203343,20.203343,8.032415,-4.016208,100.00
3.850,20.163181,20.163181,8.023288,-4.011644,100.00
3.860,20.123065,20.123065,8.014168,-4.007084,100.00
3.870,20.082994,20.082994,8.005055,-4.002528,100.00
3.880,20.042968,20.042968,7.995950,-3.997975,100.00
3.890,20.002989,20.002989,7.986852,-3.993426,100.00
3.900,19.963054,19.963054,7.977762,-3.988881,100.00
3.910,19.923166,19.923166,7.968678,-3.984339,100.00
3.920,19.883322,19.883322,8.072196,-4.036098,100.00
3.930,19.842961,19.842961,8.062846,-4.031423,100.00
3.940,19.802647,19.802647,8.053503,-4.026752,100.00
3.950,19.762380,19.762380,8.044169,-4.022084,100.00
3.960,19.722159,19.722159,8.034841,-4.017421,100.00
3.970,19.681984,19.681984,8.025522,-4.012761,100.00
3.980,19.641857,19.641857,8.016210,-4.008105,100.00
3.990,19.601776,19.601776,8.006906,-4.003453,100.00
4.000,19.561741,19.561741,8.107973,-4.053987,100.00
4.010,19.521201,19.521201,8.098403,-4.049201,100.00
4.020,19.480709,19.480709,8.088840,-4.044420,100.00
4.030,19.440265,19.440265,8.079286,-4.039643,100.00
