# Primal Logic + MotorHandPro Integration
# Combined control system output
t,state,primal_control,throttle,psi,gamma,Ec,comfort
2.720,24.389115,-3.509757,83,24.424212,-3.509757,7.019515,100.00
2.730,24.354046,-3.506843,83,24.389115,-3.506843,7.013687,100.00
2.740,24.319007,-3.503931,83,24.354046,-3.503931,7.007862,100.00
2.750,24.283997,-3.501020,83,24.319007,-3.501020,7.002041,100.00
2.760,24.249016,-3.498112,83,24.283997,-3.498112,6.996223,100.00
2.770,24.214064,-3.495204,83,24.249016,-3.495204,6.990409,100.00
2.780,24.179141,-3.492299,83,24.214064,-3.492299,6.984598,100.00
2.790,24.144247,-3.489395,83,24.179141,-3.489395,6.978790,100.00
2.800,24.108637,-3.560981,82,24.144247,-3.560981,7.121962,100.00
2.810,24.073058,-3.557946,82,24.108637,-3.557946,7.115893,100.00
2.820,24.037508,-3.554914,82,24.073058,-3.554914,7.109828,100.00
2.830,24.001990,-3.551883,82,24.037508,-3.551883,7.103766,100.00
2.840,23.966501,-3.548854,82,24.001990,-3.548854,7.097708,100.00
2.850,23.931043,-3.545827,82,23.966501,-3.545827,7.091654,100.00
2.860,23.895615,-3.542802,82,23.931043,-3.542802,7.085604,100.00
2.870,23.860217,-3.539779,82,23.895615,-3.539779,7.079557,100.00
2.880,23.824119,-3.609770,81,23.860217,-3.609770,7.219540,100.00
2.890,23.788053,-3.606615,82,23.824119,-3.606615,7.213230,100.00
2.900,23.752018,-3.603462,82,23.788053,-3.603462,7.206924,100.00
2.910,23.716015,-3.600311,82,23.752018,-3.600311,7.200622,100.00
2.920,23.680044,-3.597162,82,23.716015,-3.597162,7.194325,100.00
2.930,23.644104,-3.594015,82,23.680044,-3.594015,7.188031,100.00
2.940,23.608195,-3.590870,82,23.644104,-3.590870,7.181741,100.00
2.950,23.572318,-3.587727,82,23.608195,-3.587727,7.175454,100.00
2.960,23.535756,-3.656153,81,23.572318,-3.656153,7.312306,100.00
2.970,23.499227,-3.652878,81,23.535756,-3.652878,7.305756,100.00
2.980,23.462731,-3.649605,81,23.499227,-3.649605,7.299210,100.00
2.990,23.426268,-3.646334,81,23.462731,-3.646334,7.292668,100.00
3.000,23.389837,-3.643065,81,23.426268,-3.643065,7.286130,100.00
3.010,23.353439,-3.639798,81,23.389837,-3.639798,7.279596,100.00
3.020,23.317074,-3.636533,81,23.353439,-3.636533,7.273067,100.00
3.030,23.280741,-3.633271,81,23.317074,-3.633271,7.266542,100.00
3.040,23.243740,-3.700160,80,23.280741,-3.700160,7.400320,100.00
3.050,23.206772,-3.696765,80,23.243740,-3.696765,7.393530,100.00
3.060,23.169838,-3.693372,80,23.206772,-3.693372,7.386744,100.00
3.070,23.132938,-3.689981,80,23.169838,-3.689981,7.379962,100.00
3.080,23.096073,-3.686592,80,23.132938,-3.686592,7.373184,100.00
3.090,23.059240,-3.683206,81,23.096073,-3.683206,7.366411,100.00
3.100,23.022442,-3.679821,81,23.059240,-3.679821,7.359643,100.00
3.110,22.985678,-3.676439,81,23.022442,-3.676439,7.352879,100.00
3.120,22.948260,-3.741820,80,22.985678,-3.741820,7.483641,100.00
3.130,22.910877,-3.738305,80,22.948260,-3.738305,7.476611,100.00
3.140,22.873529,-3.734792,80,22.910877,-3.734792,7.469585,100.00
3.150,22.836216,-3.731282,80,22.873529,-3.731282,7.462564,100.00
3.160,22.798938,-3.727774,80,22.836216,-3.727774,7.455548,100.00
3.170,22.761695,-3.724268,80,22.798938,-3.724268,7.448536,100.00
3.180,22.724488,-3.720765,80,22.761695,-3.720765,7.441529,100.00
3.190,22.687315,-3.717263,80,22.724488,-3.717263,7.434527,100.00
3.200,22.649504,-3.781164,79,22.687315,-3.781164,7.562328,100.00
3.210,22.611728,-3.777529,79,22.649504,-3.777529,7.555059,100.00
3.220,22.573989,-3.773897,79,22.611728,-3.773897,7.547795,100.00
3.230,22.536287,-3.770268,79,22.573989,-3.770268,7.540535,100.00
3.240,22.498620,-3.766640,79,22.536287,-3.766640,7.533281,100.00
3.250,22.460990,-3.763016,80,22.498620,-3.763016,7.526031,100.00
3.260,22.423396,-3.759393,80,22.460990,-3.759393,7.518787,100.00
3.270,22.385838,-3.755774,80,22.423396,-3.755774,7.511547,100.00
3.280,22.347656,-3.818221,79,22.385838,-3.818221,7.636442,100.00
3.290,22.309511,-3.814468,79,22.347656,-3.814468,7.628935,100.00
3.300,22.271404,-3.810717,79,22.309511,-3.810717,7.621433,100.00
3.310,22.233335,-3.806968,79,22.271404,-3.806968,7.613937,100.00
3.320,22.195302,-3.803223,79,22.233335,-3.803223,7.606445,100.00
3.330,22.157308,-3.799480,79,22.195302,-3.799480,7.598959,100.00
3.340,22.119350,-3.795739,79,22.157308,-3.795739,7.591478,100.00
3.350,22.081430,-3.792001,79,22.119350,-3.792001,7.584002,100.00
3.360,22.042900,-3.853022,78,22.081430,-3.853022,7.706045,100.00
3.370,22.004408,-3.849151,78,22.042900,-3.849151,7.698301,100.00
3.380,21.965956,-3.845281,78,22.004408,-3.845281,7.690563,100.00
3.390,21.927541,-3.841415,79,21.965956,-3.841415,7.682830,100.00
3.400,21.889166,-3.837551,79,21.927541,-3.837551,7.675103,100.00
3.410,21.850829,-3.833691,79,21.889166,-3.833691,7.667381,100.00
3.420,21.812531,-3.829833,79,21.850829,-3.829833,7.659665,100.00
3.430,21.774271,-3.825977,79,21.812531,-3.825977,7.651954,100.00
3.440,21.735415,-3.885599,78,21.774271,-3.885599,7.771198,100.00
3.450,21.696599,-3.881609,78,21.735415,-3.881609,7.763219,100.00
3.460,21.657823,-3.877623,78,21.696599,-3.877623,7.755246,100.00
3.470,21.619086,-3.873639,78,21.657823,-3.873639,7.747278,100.00
3.480,21.580390,-3.869658,78,21.619086,-3.869658,7.739317,100.00
3.490,21.541733,-3.865680,78,21.580390,-3.865680,7.731361,100.00
3.500,21.503116,-3.861705,78,21.541733,-3.861705,7.723411,100.00
3.510,21.464538,-3.857733,78,21.503116,-3.857733,7.715467,100.00
3.520,21.425379,-3.915982,78,21.464538,-3.915982,7.831963,100.00
3.530,21.386260,-3.911875,78,21.425379,-3.911875,7.823751,100.00
3.540,21.347182,-3.907772,78,21.386260,-3.907772,7.815544,100.00
3.550,21.308145,-3.903672,78,21.347182,-3.903672,7.807344,100.00
3.560,21.269150,-3.899575,78,21.308145,-3.899575,7.799149,100.00
3.570,21.230195,-3.895481,78,21.269150,-3.895481,7.790961,100.00
3.580,21.191281,-3.891389,78,21.230195,-3.891389,7.782779,100.00
3.590,21.152408,-3.887301,78,21.191281,-3.887301,7.774603,100.00
3.600,21.112966,-3.944202,77,21.152408,-3.944202,7.888404,100.00
3.610,21.073566,-3.939980,77,21.112966,-3.939980,7.879960,100.00
3.620,21.034209,-3.935761,77,21.073566,-3.935761,7.871522,100.00
3.630,20.994893,-3.931545,77,21.034209,-3.931545,7.863090,100.00
3.640,20.955620,-3.927332,77,20.994893,-3.927332,7.854665,100.00
3.650,20.916389,-3.923123,77,20.955620,-3.923123,7.846246,100.00
3.660,20.877199,-3.918917,78,20.916389,-3.918917,7.837834,100.00
3.670,20.838052,-3.914714,78,20.877199,-3.914714,7.829428,100.00
3.680,20.798349,-3.970292,77,20.838052,-3.970292,7.940584,100.00
